"sender","subject","keywords","has_url","has_attachment","timestamp","label"
"info@outlook.com","Your Monthly Statement","meeting agenda","0","0","2024-11-20 16:26","legitimate"
"team@trello.com","Welcome to Our Service!","reset instructions","1","0","2024-09-01 07:36","legitimate"
"info@outlook.com","Meeting Reminder: 2 PM Today","welcome message","0","0","2024-08-26 13:20","legitimate"
"noreply@paypa1.com","Claim Your Prize Now!","verify immediately","0","1","2025-01-21 21:03","phishing"
"team@trello.com","Meeting Reminder: 2 PM Today","welcome message","1","1","2025-02-09 22:58","legitimate"
"support@amaz0n-deals.com","Urgent: Account Verification Required!","urgent security update","1","0","2024-12-24 04:07","phishing"
"security@bank-alert.com","Urgent: Account Verification Required!","win free prize","1","1","2025-02-16 08:36","phishing"
"security@bank-alert.com","You Won $1000 - Click to Redeem","win free prize","0","1","2024-07-29 13:54","phishing"
"updates@google.com","Password Reset Confirmation","invoice details","0","0","2024-08-02 17:58","legitimate"
"support@linkedin.com","Your Monthly Statement","welcome message","0","0","2024-04-29 17:12","legitimate"
"noreply@paypa1.com","Claim Your Prize Now!","win free prize","1","1","2024-10-13 04:50","phishing"
"john.doe@gmail.com","Welcome to Our Service!","welcome message","1","1","2025-01-04 07:05","legitimate"
"info@outlook.com","Password Reset Confirmation","team collaboration","1","0","2024-06-05 13:05","legitimate"
"security@bank-alert.com","Urgent: Account Verification Required!","crypto bonus","1","0","2024-04-12 15:49","phishing"
"noreply@paypa1.com","Security Alert: Suspicious Login","claim now","1","1","2024-12-17 14:53","phishing"
"support@linkedin.com","Meeting Reminder: 2 PM Today","meeting agenda","0","1","2024-06-25 23:42","legitimate"
"admin@micros0ft.com","Claim Your Prize Now!","win free prize","1","1","2024-06-15 15:56","phishing"
"john.doe@gmail.com","Your Monthly Statement","team collaboration","0","1","2024-07-20 06:45","legitimate"
"support@amaz0n-deals.com","You Won $1000 - Click to Redeem","winner alert","0","0","2024-10-03 01:03","phishing"
"security@bank-alert.com","Urgent: Account Verification Required!","verify immediately","0","1","2024-08-30 22:25","phishing"
"support@linkedin.com","Your Monthly Statement","welcome message","0","0","2024-08-04 01:58","legitimate"
"support@linkedin.com","Your Monthly Statement","welcome message","1","0","2025-02-01 16:26","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","win free prize","0","0","2024-04-07 02:35","phishing"
"notifications@github.com","Welcome to Our Service!","invoice details","0","0","2025-03-07 03:43","legitimate"
"alerts@chasebankk.com","Urgent: Account Verification Required!","crypto bonus","1","0","2025-02-20 14:32","phishing"
"noreply@paypa1.com","Update Your Payment Info Immediately","win free prize","0","1","2024-10-10 10:16","phishing"
"john.doe@gmail.com","Project Update from Team","team collaboration","0","0","2024-12-13 03:20","legitimate"
"alerts@chasebankk.com","Security Alert: Suspicious Login","claim now","0","1","2024-03-23 04:17","phishing"
"john.doe@gmail.com","Meeting Reminder: 2 PM Today","reset instructions","1","1","2024-10-02 04:09","legitimate"
"support@amaz0n-deals.com","Urgent: Account Verification Required!","verify immediately","0","0","2024-03-24 20:47","phishing"
"alerts@chasebankk.com","Claim Your Prize Now!","winner alert","0","1","2024-10-08 19:43","phishing"
"notifications@github.com","Your Monthly Statement","team collaboration","0","0","2025-01-04 13:58","legitimate"
"security@bank-alert.com","Update Your Payment Info Immediately","urgent security update","0","1","2024-12-18 14:15","phishing"
"support@linkedin.com","Welcome to Our Service!","update notification","0","1","2024-07-22 17:44","legitimate"
"security@bank-alert.com","Update Your Payment Info Immediately","claim now","0","1","2024-04-08 19:25","phishing"
"alerts@chasebankk.com","Claim Your Prize Now!","winner alert","0","1","2025-02-24 19:59","phishing"
"noreply@paypa1.com","Claim Your Prize Now!","urgent security update","0","1","2024-05-22 15:23","phishing"
"info@outlook.com","Project Update from Team","reset instructions","0","0","2024-08-07 06:50","legitimate"
"admin@micros0ft.com","Claim Your Prize Now!","urgent security update","1","0","2024-05-18 20:21","phishing"
"info@outlook.com","Project Update from Team","meeting agenda","1","0","2024-12-11 16:08","legitimate"
"info@outlook.com","Your Monthly Statement","welcome message","0","1","2024-12-01 01:55","legitimate"
"john.doe@gmail.com","Project Update from Team","reset instructions","1","1","2024-06-19 10:14","legitimate"
"support@amaz0n-deals.com","Update Your Payment Info Immediately","win free prize","0","1","2024-04-30 07:26","phishing"
"team@trello.com","Welcome to Our Service!","meeting agenda","1","1","2024-06-08 11:37","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","crypto bonus","1","1","2024-11-15 04:42","phishing"
"updates@google.com","Your Monthly Statement","welcome message","0","0","2024-08-26 18:46","legitimate"
"security@bank-alert.com","Urgent: Account Verification Required!","crypto bonus","0","0","2024-07-15 07:31","phishing"
"alerts@chasebankk.com","Urgent: Account Verification Required!","verify immediately","1","1","2024-07-25 03:46","phishing"
"team@trello.com","Project Update from Team","update notification","1","1","2024-05-02 19:50","legitimate"
"support@linkedin.com","Password Reset Confirmation","meeting agenda","1","0","2024-08-29 10:03","legitimate"
"alerts@chasebankk.com","Update Your Payment Info Immediately","urgent security update","0","0","2024-11-27 05:18","phishing"
"notifications@github.com","Project Update from Team","welcome message","1","1","2024-10-06 02:11","legitimate"
"notifications@github.com","Password Reset Confirmation","meeting agenda","1","0","2024-12-13 22:08","legitimate"
