subject,body,label
Security Alert: Suspicious Login Detected,"Dear Barbara,
We detected unusual activity on your account. Click here to verify: http://secure.chavez.com/7512
Failure to act within 24 hours will suspend your account.
Regards,
Smith LLC Support",Phishing
Team Meeting Tomorrow,"Dear Joel,
Your Amazon subscription renews on 2025-02-17. No action needed – you’re all set!
Best,
Graham Inc Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hello Jasmine,
Your recent payment of $1683 failed. Update your details: http://secure.walton.com/1218
Avoid service disruption!
Sincerely,
Martin, Martinez and Joseph Billing",Phishing
Password Reset Required Immediately,"Hello Joseph,
Your recent payment of $4859 failed. Update your details: http://verify.ortiz.org/6685
Avoid service disruption!
Sincerely,
Nelson-Mcknight Billing",Phishing
Weekly Newsletter – 2025-02-06,"Hi Billy,
Just a reminder about our team meeting tomorrow at 21:11:03. Please prepare your updates.
Thanks,
Jessica Young",Legitimate
Weekly Newsletter – 2025-02-15,"Dear Kyle,
Your Bank of America subscription renews on 2025-02-15. No action needed – you’re all set!
Best,
Randall-Acosta Team",Legitimate
Project Update: Next Steps,"Hello Sabrina,
Here’s the latest on our project. Next milestone is due 2025-02-02. Let me know if you have questions!
Regards,
Theresa Brown",Legitimate
Password Reset Required Immediately,"Dear Judith,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.mendez.info/5605
Act now!
Garcia Inc Team",Phishing
"Welcome to Lee, Wheeler and Sawyer!","Dear Tiffany,
Your Bank of America subscription renews on 2025-02-14. No action needed – you’re all set!
Best,
Lee, Wheeler and Sawyer Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Congratulations Jeffrey!
You’ve won a $316 gift card! Claim it now: http://verify.reese-wilkerson.com/4469
Hurry, offer expires soon!
Best,
Martin-Rowland Rewards Team",Phishing
Project Update: Next Steps,"Hello Diane,
Here’s the latest on our project. Next milestone is due 2025-02-23. Let me know if you have questions!
Regards,
Karina Martinez",Legitimate
Password Reset Required Immediately,"Dear Patricia,
We detected unusual activity on your account. Click here to verify: http://login.abbott-evans.org/6344
Failure to act within 24 hours will suspend your account.
Regards,
Fitzgerald PLC Support",Phishing
Your Subscription Renewal,"Hi Natalie,
Just a reminder about our team meeting tomorrow at 00:17:38. Please prepare your updates.
Thanks,
Rachael Johnson",Legitimate
Security Alert: Suspicious Login Detected,"Dear Lindsay,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.terry.biz/2977
Act now!
Garcia, Lewis and Simon Team",Phishing
Welcome to Jackson Inc!,"Hi Misty,
Just a reminder about our team meeting tomorrow at 11:09:24. Please prepare your updates.
Thanks,
Aaron Collins",Legitimate
Project Update: Next Steps,"Hello Tyler,
Here’s the latest on our project. Next milestone is due 2025-02-23. Let me know if you have questions!
Regards,
Douglas Cordova",Legitimate
Your Subscription Renewal,"Hi Amanda,
Just a reminder about our team meeting tomorrow at 23:02:27. Please prepare your updates.
Thanks,
Angela Dean",Legitimate
Project Update: Next Steps,"Hi George,
Just a reminder about our team meeting tomorrow at 11:57:19. Please prepare your updates.
Thanks,
Zachary Walton",Legitimate
Your Subscription Renewal,"Welcome Colleen!
We’re excited to have you with Meza-Taylor. Explore your account here: http://claim.leonard-copeland.com/3616
Cheers,
Meza-Taylor Onboarding",Legitimate
Weekly Newsletter – 2025-02-07,"Hi Crystal,
Just a reminder about our team meeting tomorrow at 05:03:35. Please prepare your updates.
Thanks,
John Green",Legitimate
Security Alert: Suspicious Login Detected,"Hi Nicholas,
Your Google account password has expired. Reset it here: http://secure.smith.info/9024
This is urgent!
Thanks,
Swanson and Sons Security",Phishing
Security Alert: Suspicious Login Detected,"Hi Catherine,
Your Google account password has expired. Reset it here: http://login.brooks.com/4182
This is urgent!
Thanks,
Carter and Sons Security",Phishing
"Welcome to Hodges, Pierce and Powell!","Welcome Arthur!
We’re excited to have you with Hodges, Pierce and Powell. Explore your account here: http://verify.mendez.biz/2814
Cheers,
Hodges, Pierce and Powell Onboarding",Legitimate
Weekly Newsletter – 2025-02-09,"Hi James,
Just a reminder about our team meeting tomorrow at 11:19:04. Please prepare your updates.
Thanks,
Adam Ward",Legitimate
Team Meeting Tomorrow,"Hi Andrea,
Here’s your weekly update for 2025-02-17. Stay informed with Nicholson, Ruiz and Miller news!
Thanks,
Nicholson, Ruiz and Miller Newsletter Team",Legitimate
Welcome to Freeman-Morgan!,"Hello Rodney,
Here’s the latest on our project. Next milestone is due 2025-02-11. Let me know if you have questions!
Regards,
Raymond Wilson",Legitimate
Password Reset Required Immediately,"Hi Jessica,
Your PayPal account password has expired. Reset it here: http://claim.lopez.net/8754
This is urgent!
Thanks,
James and Sons Security",Phishing
Your Payment Failed – Update Billing Info,"Hello Elizabeth,
Your recent payment of $4312 failed. Update your details: http://verify.erickson-romero.com/1284
Avoid service disruption!
Sincerely,
Butler, Delgado and Walters Billing",Phishing
Weekly Newsletter – 2025-02-21,"Hi Jason,
Here’s your weekly update for 2025-02-21. Stay informed with Mcdowell-Barton news!
Thanks,
Mcdowell-Barton Newsletter Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hi Kylie,
Your Amazon account password has expired. Reset it here: http://verify.moore.com/1829
This is urgent!
Thanks,
Moreno Group Security",Phishing
"You’ve Won $5,000 – Claim It Here!","Dear Charles,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.guzman.org/8678
Act now!
Robinson-Keller Team",Phishing
Your Payment Failed – Update Billing Info,"Congratulations Nicole!
You’ve won a $2097 gift card! Claim it now: http://login.marquez-logan.info/5206
Hurry, offer expires soon!
Best,
Johnson LLC Rewards Team",Phishing
Weekly Newsletter – 2025-02-03,"Hi Daniel,
Just a reminder about our team meeting tomorrow at 05:04:09. Please prepare your updates.
Thanks,
Ronald Horton",Legitimate
Password Reset Required Immediately,"Dear Steven,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.miranda-hunter.biz/5644
Act now!
Anderson Inc Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Congratulations Alexander!
You’ve won a $2014 gift card! Claim it now: http://verify.foster.net/5417
Hurry, offer expires soon!
Best,
Pham-Huerta Rewards Team",Phishing
Weekly Newsletter – 2025-02-22,"Dear Christopher,
Your Google subscription renews on 2025-02-22. No action needed – you’re all set!
Best,
Fisher, Hill and Mclaughlin Team",Legitimate
Urgent: Verify Your Account Now!,"Dear April,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.dyer-watson.com/9767
Act now!
Wright, Reeves and Crane Team",Phishing
Team Meeting Tomorrow,"Hello Sandra,
Here’s the latest on our project. Next milestone is due 2025-02-20. Let me know if you have questions!
Regards,
Benjamin Garcia",Legitimate
Weekly Newsletter – 2025-02-05,"Hi Stephanie,
Just a reminder about our team meeting tomorrow at 08:59:23. Please prepare your updates.
Thanks,
Rebecca Rodriguez",Legitimate
"Welcome to Hampton, King and Edwards!","Welcome Frank!
We’re excited to have you with Hampton, King and Edwards. Explore your account here: http://secure.collins-castaneda.info/7269
Cheers,
Hampton, King and Edwards Onboarding",Legitimate
Your Payment Failed – Update Billing Info,"Hello Melissa,
Your recent payment of $2240 failed. Update your details: http://claim.brady.biz/9074
Avoid service disruption!
Sincerely,
Phillips, Martinez and Moore Billing",Phishing
Urgent: Verify Your Account Now!,"Congratulations Jeffrey!
You’ve won a $3186 gift card! Claim it now: http://login.morse.com/4341
Hurry, offer expires soon!
Best,
Stephens-Rangel Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi Bailey,
Your PayPal account password has expired. Reset it here: http://verify.davis.com/5665
This is urgent!
Thanks,
Long-Wolf Security",Phishing
Security Alert: Suspicious Login Detected,"Hi Brandon,
Your Google account password has expired. Reset it here: http://verify.dennis-moore.org/1754
This is urgent!
Thanks,
Mills, Woods and Johnson Security",Phishing
Team Meeting Tomorrow,"Hi Pamela,
Here’s your weekly update for 2025-02-12. Stay informed with Stephens, Crawford and Mccarthy news!
Thanks,
Stephens, Crawford and Mccarthy Newsletter Team",Legitimate
Security Alert: Suspicious Login Detected,"Hi Jeremy,
Your Bank of America account password has expired. Reset it here: http://claim.evans.com/4875
This is urgent!
Thanks,
King Inc Security",Phishing
Weekly Newsletter – 2025-02-20,"Hello William,
Here’s the latest on our project. Next milestone is due 2025-02-20. Let me know if you have questions!
Regards,
Christine Chase",Legitimate
Project Update: Next Steps,"Hello Stacey,
Here’s the latest on our project. Next milestone is due 2025-02-19. Let me know if you have questions!
Regards,
Carly Davis",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hello Samantha,
Your recent payment of $3333 failed. Update your details: http://secure.wolf.com/5574
Avoid service disruption!
Sincerely,
Chang, Oliver and Rubio Billing",Phishing
Your Payment Failed – Update Billing Info,"Hi Alicia,
Your Amazon account password has expired. Reset it here: http://verify.scott.com/8745
This is urgent!
Thanks,
Powell, Kelly and Townsend Security",Phishing
Project Update: Next Steps,"Welcome Cindy!
We’re excited to have you with Contreras, Mitchell and Huber. Explore your account here: http://login.morales-harmon.com/4245
Cheers,
Contreras, Mitchell and Huber Onboarding",Legitimate
Password Reset Required Immediately,"Hi Dylan,
Your Bank of America account password has expired. Reset it here: http://verify.rios.com/8386
This is urgent!
Thanks,
Yates-Burton Security",Phishing
Project Update: Next Steps,"Hi James,
Here’s your weekly update for 2025-02-03. Stay informed with Parker, Lara and Moon news!
Thanks,
Parker, Lara and Moon Newsletter Team",Legitimate
Your Payment Failed – Update Billing Info,"Hi Lisa,
Your Amazon account password has expired. Reset it here: http://claim.montoya-welch.biz/7542
This is urgent!
Thanks,
Villarreal Group Security",Phishing
Password Reset Required Immediately,"Hello Eric,
Your recent payment of $2197 failed. Update your details: http://login.harris.biz/8819
Avoid service disruption!
Sincerely,
Burton-Taylor Billing",Phishing
Weekly Newsletter – 2025-02-07,"Dear Kimberly,
Your Amazon subscription renews on 2025-02-07. No action needed – you’re all set!
Best,
Simpson, Vasquez and Nelson Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hi Andrea,
Your Netflix account password has expired. Reset it here: http://login.castillo.com/8313
This is urgent!
Thanks,
Torres LLC Security",Phishing
Weekly Newsletter – 2025-02-16,"Hi Ashley,
Just a reminder about our team meeting tomorrow at 18:54:29. Please prepare your updates.
Thanks,
Nancy Wilson",Legitimate
Team Meeting Tomorrow,"Hi Christopher,
Here’s your weekly update for 2025-02-03. Stay informed with Watkins Ltd news!
Thanks,
Watkins Ltd Newsletter Team",Legitimate
Security Alert: Suspicious Login Detected,"Dear Cassandra,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.rodriguez.info/1261
Act now!
Austin, Scott and Ramos Team",Phishing
Your Payment Failed – Update Billing Info,"Hi Nathan,
Your Bank of America account password has expired. Reset it here: http://verify.moore-mcguire.net/7479
This is urgent!
Thanks,
Salinas, Acevedo and Miller Security",Phishing
"Welcome to Bryant, Miller and Brown!","Hello Mary,
Here’s the latest on our project. Next milestone is due 2025-02-19. Let me know if you have questions!
Regards,
Darlene Lynch",Legitimate
Your Payment Failed – Update Billing Info,"Dear James,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.carson.org/4240
Act now!
Powers, Dixon and Wagner Team",Phishing
Password Reset Required Immediately,"Dear James,
We detected unusual activity on your account. Click here to verify: http://login.palmer-mata.com/6540
Failure to act within 24 hours will suspend your account.
Regards,
Camacho-Richardson Support",Phishing
Security Alert: Suspicious Login Detected,"Hello Erika,
Your recent payment of $1950 failed. Update your details: http://verify.baker.com/5158
Avoid service disruption!
Sincerely,
Vasquez Inc Billing",Phishing
"Welcome to Beck, Holt and Davidson!","Hello Jessica,
Here’s the latest on our project. Next milestone is due 2025-02-11. Let me know if you have questions!
Regards,
Zachary Walters",Legitimate
Project Update: Next Steps,"Hello Sara,
Here’s the latest on our project. Next milestone is due 2025-02-22. Let me know if you have questions!
Regards,
Katherine King",Legitimate
Weekly Newsletter – 2025-02-12,"Hi Andrew,
Just a reminder about our team meeting tomorrow at 02:39:35. Please prepare your updates.
Thanks,
Dustin Harris",Legitimate
Password Reset Required Immediately,"Dear Leon,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.blankenship.com/3480
Act now!
Hines, Snyder and Petty Team",Phishing
Project Update: Next Steps,"Hi Erica,
Here’s your weekly update for 2025-02-22. Stay informed with Price and Sons news!
Thanks,
Price and Sons Newsletter Team",Legitimate
Weekly Newsletter – 2025-02-21,"Hi Kimberly,
Here’s your weekly update for 2025-02-21. Stay informed with Bailey-Stephens news!
Thanks,
Bailey-Stephens Newsletter Team",Legitimate
Your Payment Failed – Update Billing Info,"Hi James,
Your Google account password has expired. Reset it here: http://claim.cobb.info/6101
This is urgent!
Thanks,
Smith Group Security",Phishing
"You’ve Won $5,000 – Claim It Here!","Hello Lisa,
Your recent payment of $171 failed. Update your details: http://login.tran.info/3949
Avoid service disruption!
Sincerely,
Mathews, Burgess and Mcclure Billing",Phishing
Weekly Newsletter – 2025-02-17,"Dear Frank,
Your Amazon subscription renews on 2025-02-17. No action needed – you’re all set!
Best,
Kim Group Team",Legitimate
Team Meeting Tomorrow,"Hi Jonathon,
Here’s your weekly update for 2025-02-11. Stay informed with Griffin, Fisher and Kelly news!
Thanks,
Griffin, Fisher and Kelly Newsletter Team",Legitimate
Team Meeting Tomorrow,"Welcome Joel!
We’re excited to have you with Carr, Dunlap and Phillips. Explore your account here: http://secure.thompson-garrison.com/6312
Cheers,
Carr, Dunlap and Phillips Onboarding",Legitimate
Urgent: Verify Your Account Now!,"Hi Christina,
Your PayPal account password has expired. Reset it here: http://claim.adams.net/7899
This is urgent!
Thanks,
Larsen-Carroll Security",Phishing
Welcome to Stevens-Brown!,"Dear Jennifer,
Your PayPal subscription renews on 2025-02-04. No action needed – you’re all set!
Best,
Stevens-Brown Team",Legitimate
Weekly Newsletter – 2025-02-06,"Hello Tara,
Here’s the latest on our project. Next milestone is due 2025-02-06. Let me know if you have questions!
Regards,
Tammy Johnson",Legitimate
Security Alert: Suspicious Login Detected,"Hello Michael,
Your recent payment of $3166 failed. Update your details: http://verify.potts.net/6243
Avoid service disruption!
Sincerely,
Kelly PLC Billing",Phishing
Security Alert: Suspicious Login Detected,"Dear Victoria,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.castaneda.net/4946
Act now!
Buck-Oneal Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi Albert,
Your PayPal account password has expired. Reset it here: http://verify.thomas-brennan.com/7959
This is urgent!
Thanks,
Nunez-Owen Security",Phishing
Weekly Newsletter – 2025-02-03,"Welcome Kelsey!
We’re excited to have you with Fernandez, Gray and Bautista. Explore your account here: http://secure.crawford.org/6111
Cheers,
Fernandez, Gray and Bautista Onboarding",Legitimate
Project Update: Next Steps,"Welcome Emily!
We’re excited to have you with Richards Inc. Explore your account here: http://claim.howard.com/2697
Cheers,
Richards Inc Onboarding",Legitimate
Password Reset Required Immediately,"Dear Paul,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.sanders.com/1358
Act now!
Cobb LLC Team",Phishing
Security Alert: Suspicious Login Detected,"Dear Stephanie,
We detected unusual activity on your account. Click here to verify: http://verify.mann.com/1053
Failure to act within 24 hours will suspend your account.
Regards,
Wiley and Sons Support",Phishing
